mean_-1,mean_smooth_-1,mean_smooth10_-1,mean_savgol_-1,mean_0,mean_smooth_0,mean_smooth10_0,mean_savgol_0,mean_1,mean_smooth_1,mean_smooth10_1,mean_savgol_1,mean_2,mean_smooth_2,mean_smooth10_2,mean_savgol_2
0.4684690739498302,0.27693819792347235,0.2651200586692375,0.461495570180127,0.16545453852513178,0.11487782164263682,0.10855938826705194,0.15935247640435948,0.5203944568125549,0.35015197857851593,0.3398465320239934,0.498245747488226,0.49558121989417414,0.32990971575596423,0.3205129146067679,0.4648468833027018
0.4809411763864012,0.33467765278887707,0.33232583750816685,0.48114042562882736,0.1855955617249955,0.14059401459921111,0.1378533859711642,0.1873946124679981,0.5397838072146743,0.42104025742451723,0.4201823742942191,0.5942882809107702,0.48186529472227285,0.39996722334914714,0.3958916589071571,0.5477465167509119
0.4775665413472834,0.39107038655836257,0.4016131833466525,0.5175550199613471,0.19020542058671863,0.16400550291190943,0.16871281751905334,0.21636397536159685,0.6703069962185203,0.4946746522810438,0.5052483089094206,0.6820783856650326,0.6057327803428645,0.47285126628381796,0.4799606680189766,0.6325046503967893
0.5962702304779955,0.4524396825251117,0.4692844638700352,0.5641917990711183,0.26275813460934955,0.1903109934982851,0.19680660349429135,0.24443864580752955,0.8492977045440616,0.5647357031891044,0.5936095827372527,0.7578740692120622,0.8217838059935086,0.5421559693930746,0.5674215195405816,0.7126083600908889
0.6279535645308648,0.5126572150829278,0.5429276190301341,0.6145032088515726,0.281580227224324,0.21589742590086164,0.22837319219794214,0.26979670452816995,0.8186823554501226,0.6284912291042004,0.6776828438269253,0.817933339012908,0.8001660451148588,0.6037035695762806,0.6505871632716898,0.7815447216837657
0.6720577883892934,0.5636026985268872,0.6151886580995136,0.6619416951961438,0.29293997704112246,0.23724614910623718,0.25907691108103403,0.2906162322458925,0.8033584227022575,0.6805445243741742,0.7541894749250406,0.8585142025286215,0.7537874430038921,0.6525152599399597,0.7244442834915368,0.8328008110259773
0.6928734583848569,0.6114117748273855,0.6294763308372817,0.6968964936540777,0.3085943154788914,0.2557073048552838,0.2681499250749715,0.3060896500452639,0.8506593461520154,0.7220996254026809,0.7646139835677537,0.8792923236410766,0.8406900911181947,0.6927525160663244,0.7334601899385343,0.8597940852531568
0.6767128052338259,0.5723726853315664,0.6387531047592396,0.7151519234691466,0.28093785975238,0.24191942664485613,0.2717437558013278,0.3105854773093487,0.8836127382783193,0.6787334206683013,0.7605017240804941,0.8631162754445558,0.87460851521605,0.6514540810751432,0.7335583678179446,0.8450233394120014
0.7364315516009892,0.5322942539660329,0.5909964506245112,0.7149941103198258,0.31566588703650794,0.22645312983443983,0.252723213742656,0.3055877459070916,0.8407326108967278,0.6337514367337451,0.6934710244586423,0.8183097317340984,0.8316564373110809,0.6112986398482871,0.6729850897836582,0.7999214170434921
0.7226103906937945,0.49249704218709267,0.5313694275767118,0.6925077968092859,0.3070371888309187,0.21060267811887995,0.226447400281721,0.2900384068223235,0.7650663109811522,0.5778925203822018,0.6085412540042361,0.7440133699418027,0.7385712021984705,0.5608209081530484,0.5908067091843073,0.723980522799961
0.6113458013275115,0.4428078563139264,0.4685740711236252,0.6437777255406997,0.2561846784645064,0.18870616690143416,0.19828937755928863,0.26287941103887646,0.6246395432396848,0.5071177116701966,0.5266730184592238,0.6393678674997693,0.5857402843641499,0.49233892432025606,0.5107901046728214,0.6166928613337427
0.5737089156059803,0.390478392603021,0.4013682922846959,0.5648886391172399,0.2215338689885593,0.16524114796607384,0.16899537985517638,0.2230527095405825,0.4986612123420803,0.4388941820493531,0.44633717618899804,0.5035139018400987,0.48284707351637607,0.4256584205606845,0.4354113603724322,0.4775506372971714
